Price;Volume;%Volume;Count;%Count;;;;;;;;;;;
200.00 - 220.00;1.145.749.650;0,28%;5;0,50%;;;;;;;;;;;
180.00 - 200.00;11.093.234.997;2,74%;63;6,28%;;;;;;;;;;;
160.00 - 180.00;10.010.086.142;2,47%;56;5,58%;;;;;;;;;;;
140.00 - 160.00;11.205.031.329;2,77%;55;5,48%;;;;;;;;;;;
120.00 - 140.00;34.765.169.926;8,58%;129;12,86%;;;;;;;;;;;
100.00 - 120.00;30.433.720.202;7,51%;89;8,87%;;;;;;;;;;;
80.00 - 100.00;28.872.787.792;7,13%;61;6,08%;;;;;;;;;;;
60.00 - 80.00;15.708.264.610;3,88%;29;2,89%;;;;;;;;;;;
40.00 - 60.00;72.490.003.220;17,90%;155;15,45%;;;;;;;;;;;
20.00 - 40.00;85.314.380.340;21,06%;168;16,75%;;;;;;;;;;;
0.00 - 20.00;104.011.433.650;25,68%;193;19,24%;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NVDA.O Statistics     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Price;;;Volume;;;;;Up/Down;;Price Change (Close-Close);;;Turnover;;
High;212,19;29-Oct-2025;Max;1.543.910.670;25-May-2023;Advancing;215.989.990.945;Up;537;Up;+24,37%;25-May-2023;Max;104.021.314.941,00;08-Mar-2024
Low;10,81;13-Oct-2022;Min;65.528.545;24-Dec-2025;Declining;188.278.174.673;Down;464;Down;-16,97%;27-Jan-2025;Min;2.745.657.486,00;25-Nov-2022
Avg (Close);79,21;;Avg;403.838.347;;Total;405.049.861.858;Unch;1;Period;+519,17%;03-Jan-2022 - 31-Dec-2025;Avg;24.433.208.002,04;
21-Oct-2025;181,16;-1,48;-0,81%;182,79;179,80;182,79;124.240.168;22.531.820.112,00;1.740.772.866.862,28;;;;;;
20-Oct-2025;182,64;-0,58;-0,32%;183,13;181,73;185,20;128.544.711;23.566.672.915,00;1.763.304.686.974,28;;;;;;
17-Oct-2025;183,22;+1,41;+0,78%;180,18;179,75;184,10;173.135.217;31.544.296.465,00;1.786.871.359.889,28;;;;;;
16-Oct-2025;181,81;+1,98;+1,10%;182,23;179,77;183,28;179.723.309;32.652.510.747,00;1.755.327.063.424,28;;;;;;
15-Oct-2025;179,83;-0,20;-0,11%;184,80;177,29;184,87;214.450.482;38.783.035.506,00;1.722.674.552.677,28;;;;;;
14-Oct-2025;180,03;-8,29;-4,40%;184,77;179,70;184,80;205.641.380;37.387.821.536,00;1.761.457.588.183,28;;;;;;
13-Oct-2025;188,32;+5,16;+2,82%;187,97;185,96;190,11;153.482.755;28.898.914.489,00;1.798.845.409.719,28;;;;;;
10-Oct-2025;183,16;-9,41;-4,89%;193,51;182,05;195,62;268.774.359;50.709.230.296,00;1.769.946.495.230,28;;;;;;
09-Oct-2025;192,57;+3,46;+1,83%;192,23;191,06;195,30;182.997.234;35.349.433.303,00;1.820.655.725.526,28;;;;;;
08-Oct-2025;189,11;+4,07;+2,20%;186,57;186,54;189,60;130.168.861;24.523.882.926,00;1.785.306.292.223,28;;;;;;
07-Oct-2025;185,04;-0,50;-0,27%;186,23;184,00;189,06;140.088.008;26.095.960.878,00;1.760.782.409.297,28;;;;;;
06-Oct-2025;185,54;-2,08;-1,11%;185,50;183,33;187,23;157.678.104;29.281.063.357,00;1.786.878.370.175,28;;;;;;
03-Oct-2025;187,62;-1,27;-0,67%;189,19;185,38;190,36;137.596.896;25.885.996.100,00;1.816.159.433.532,28;;;;;;
02-Oct-2025;188,89;+1,65;+0,88%;189,60;188,06;191,05;136.805.821;25.905.123.282,00;1.842.045.429.632,28;;;;;;
01-Oct-2025;187,24;+0,66;+0,35%;185,24;183,90;188,14;173.844.901;32.443.148.365,00;1.816.140.306.350,28;;;;;;
30-Sep-2025;186,58;+4,73;+2,60%;182,08;181,48;187,35;236.981.032;43.965.928.941,00;1.783.697.157.985,28;;;;;;
29-Sep-2025;181,85;+3,66;+2,05%;180,43;180,32;184,00;193.063.455;35.191.370.242,00;1.739.731.229.044,28;;;;;;
26-Sep-2025;178,19;+0,50;+0,28%;178,17;174,93;179,77;148.573.732;26.304.816.377,00;1.704.539.858.802,28;;;;;;
25-Sep-2025;177,69;+0,72;+0,41%;174,48;173,13;180,26;191.586.733;33.961.791.495,00;1.678.235.042.425,28;;;;;;
24-Sep-2025;176,97;-1,46;-0,82%;179,77;175,40;179,78;143.564.116;25.475.903.235,00;1.644.273.250.930,28;;;;;;
23-Sep-2025;178,43;-5,18;-2,82%;181,97;176,21;182,42;192.559.552;34.553.623.907,00;1.669.749.154.165,28;;;;;;
22-Sep-2025;183,61;+6,94;+3,93%;175,30;174,71;184,55;269.637.001;48.805.438.451,00;1.704.302.778.072,28;;;;;;
19-Sep-2025;176,67;+0,43;+0,24%;175,77;175,18;178,08;237.182.143;41.859.203.337,00;1.655.497.339.621,28;;;;;;
18-Sep-2025;176,24;+5,95;+3,49%;173,98;172,96;177,10;191.763.313;33.691.239.675,00;1.613.638.136.284,28;;;;;;
17-Sep-2025;170,29;-4,59;-2,62%;172,64;168,41;173,20;211.843.817;36.101.620.559,00;1.579.946.896.609,28;;;;;;
16-Sep-2025;174,88;-2,87;-1,61%;177,00;174,38;177,50;140.737.775;24.703.147.105,00;1.616.048.517.168,28;;;;;;
15-Sep-2025;177,75;-0,07;-0,04%;175,67;174,51;178,85;147.061.559;25.963.803.864,00;1.640.751.664.273,28;;;;;;
12-Sep-2025;177,82;+0,65;+0,37%;177,77;176,45;178,60;124.911.026;22.202.288.898,00;1.666.715.468.137,28;;;;;;
11-Sep-2025;177,17;-0,16;-0,09%;179,68;176,48;180,28;151.159.274;26.865.881.421,00;1.644.513.179.239,28;;;;;;
10-Sep-2025;177,33;+6,57;+3,85%;176,64;175,47;179,29;226.852.020;40.256.697.264,00;1.671.379.060.660,28;;;;;;
09-Sep-2025;170,76;+2,45;+1,46%;169,09;166,74;170,98;157.548.392;26.636.413.409,00;1.631.122.363.396,28;;;;;;
08-Sep-2025;168,31;+1,29;+0,77%;167,55;167,35;170,96;163.769.133;27.746.493.406,00;1.604.485.949.987,28;;;;;;
05-Sep-2025;167,02;-4,64;-2,70%;168,03;164,07;169,03;224.441.435;37.381.971.371,00;1.576.739.456.581,28;;;;;;
04-Sep-2025;171,66;+1,04;+0,61%;170,57;169,41;171,86;141.670.144;24.203.955.973,00;1.614.121.427.952,28;;;;;;
03-Sep-2025;170,62;-0,16;-0,09%;171,06;168,88;172,41;164.424.873;28.060.844.564,00;1.589.917.471.979,28;;;;;;
02-Sep-2025;170,78;-3,40;-1,95%;170,00;167,22;172,38;231.164.853;39.215.836.655,00;1.617.978.316.543,28;;;;;;
29-Aug-2025;174,18;-5,99;-3,32%;178,11;173,15;178,15;243.257.873;42.458.380.872,00;1.657.194.153.198,28;;;;;;
28-Aug-2025;180,17;-1,43;-0,79%;180,82;176,41;184,47;281.787.824;50.669.529.785,00;1.699.652.534.070,28;;;;;;
27-Aug-2025;181,60;-0,17;-0,09%;181,98;179,10;182,49;235.518.949;42.517.218.533,00;1.750.322.063.855,28;;;;;;
26-Aug-2025;181,77;+1,96;+1,09%;180,06;178,81;182,39;168.688.186;30.575.591.578,00;1.792.839.282.388,28;;;;;;
25-Aug-2025;179,81;+1,82;+1,02%;178,35;176,57;181,91;163.012.789;29.346.693.140,00;1.762.263.690.810,28;;;;;;
22-Aug-2025;177,99;+3,01;+1,72%;172,61;171,20;178,59;172.789.427;30.547.941.703,00;1.732.916.997.670,28;;;;;;
