NASDAQ 100 Index | Price History                                          07-Mar-2026 19:34;;;;;;;;;;
.NDX History     5 Minutes     07-Mar-2025 21:35 - 06-Mar-2026 05:15;;;;;;;;;;
Exchange Date;Exchange Time;Local Date;Local Time;Close;Net;%Chg;Open;Low;High;Volume
27-Mar-2025;01.05;28-Mar-2025;01.05;19.846,73;+27,72;+0,14%;19.819,09;19.817,74;19.846,80;1.416.739
27-Mar-2025;01.00;28-Mar-2025;01.00;19.819,00;+0,15;+0,00%;19.818,57;19.817,39;19.826,87;1.108.193
27-Mar-2025;00.55;28-Mar-2025;00.55;19.818,85;-32,11;-0,16%;19.851,70;19.817,45;19.865,56;1.547.299
27-Mar-2025;00.50;28-Mar-2025;00.50;19.850,96;+27,44;+0,14%;19.825,79;19.825,79;19.856,94;1.459.815
27-Mar-2025;00.45;28-Mar-2025;00.45;19.823,53;-5,03;-0,03%;19.828,55;19.821,22;19.835,52;1.099.967
27-Mar-2025;00.40;28-Mar-2025;00.40;19.828,55;-3,44;-0,02%;19.831,55;19.812,87;19.832,30;1.486.218
27-Mar-2025;00.35;28-Mar-2025;00.35;19.831,99;+17,40;+0,09%;19.813,22;19.812,23;19.843,09;1.703.793
27-Mar-2025;00.30;28-Mar-2025;00.30;19.814,59;-34,84;-0,18%;19.849,44;19.811,35;19.849,44;1.779.980
27-Mar-2025;00.25;28-Mar-2025;00.25;19.849,43;-5,73;-0,03%;19.855,15;19.836,93;19.860,79;1.616.836
27-Mar-2025;00.20;28-Mar-2025;00.20;19.855,15;-8,45;-0,04%;19.863,74;19.855,15;19.869,97;1.263.410
27-Mar-2025;00.15;28-Mar-2025;00.15;19.863,60;+20,85;+0,11%;19.842,84;19.838,85;19.863,60;1.228.441
27-Mar-2025;00.10;28-Mar-2025;00.10;19.842,75;+10,41;+0,05%;19.831,04;19.822,20;19.849,70;1.389.282
27-Mar-2025;00.05;28-Mar-2025;00.05;19.832,34;+16,71;+0,08%;19.815,45;19.811,10;19.835,77;1.899.494
27-Mar-2025;00.00;28-Mar-2025;00.00;19.815,64;-28,94;-0,15%;19.844,57;19.815,19;19.845,33;1.587.935
27-Mar-2025;23.55;27-Mar-2025;23.55;19.844,57;-11,51;-0,06%;19.855,09;19.835,59;19.855,49;1.478.496
27-Mar-2025;23.50;27-Mar-2025;23.50;19.856,08;-39,35;-0,20%;19.894,90;19.855,84;19.901,72;1.420.108
27-Mar-2025;23.45;27-Mar-2025;23.45;19.895,44;+6,40;+0,03%;19.888,78;19.884,03;19.906,02;1.401.750
27-Mar-2025;23.40;27-Mar-2025;23.40;19.889,03;-4,48;-0,02%;19.893,52;19.877,08;19.894,43;1.601.681
27-Mar-2025;23.35;27-Mar-2025;23.35;19.893,52;+9,33;+0,05%;19.883,19;19.883,19;19.910,15;1.777.490
27-Mar-2025;23.30;27-Mar-2025;23.30;19.884,19;-32,65;-0,16%;19.916,70;19.882,54;19.916,93;1.722.209
27-Mar-2025;23.25;27-Mar-2025;23.25;19.916,84;-21,56;-0,11%;19.938,51;19.916,75;19.953,45;1.587.377
27-Mar-2025;23.20;27-Mar-2025;23.20;19.938,40;+34,76;+0,17%;19.903,83;19.901,05;19.944,54;1.771.913
27-Mar-2025;23.15;27-Mar-2025;23.15;19.903,64;+0,96;+0,00%;19.902,68;19.887,54;19.904,77;1.474.602
27-Mar-2025;23.10;27-Mar-2025;23.10;19.902,68;+30,95;+0,16%;19.871,74;19.867,85;19.903,48;2.073.816
27-Mar-2025;23.05;27-Mar-2025;23.05;19.871,73;+20,46;+0,10%;19.851,59;19.846,22;19.874,93;1.780.255
27-Mar-2025;23.00;27-Mar-2025;23.00;19.851,27;-30,83;-0,16%;19.882,98;19.848,65;19.882,98;1.858.694
27-Mar-2025;22.55;27-Mar-2025;22.55;19.882,10;+24,06;+0,12%;19.858,04;19.857,97;19.883,87;1.911.186
27-Mar-2025;22.50;27-Mar-2025;22.50;19.858,04;-20,68;-0,10%;19.878,69;19.855,74;19.880,32;2.061.413
27-Mar-2025;22.45;27-Mar-2025;22.45;19.878,73;-9,65;-0,05%;19.888,13;19.867,97;19.891,12;1.954.390
27-Mar-2025;22.40;27-Mar-2025;22.40;19.888,38;-10,93;-0,05%;19.899,43;19.880,78;19.909,69;2.176.702
27-Mar-2025;22.35;27-Mar-2025;22.35;19.899,31;-38,24;-0,19%;19.938,05;19.895,66;19.938,05;2.708.365
